duration,year_2008,duration_default_no,age_housing_no,balance_housing_no,duration_housing_no,duration_housing_yes,duration_loan_no,duration_contact_cellular,duration_poutcome_success,duration_poutcome_unknown,age_year_2008,duration_year_2008,campaign_year_2008,pdays_year_2008,age_year_2009,duration_year_2009,duration_year_2010,campaign_year_2010,duration_age
91,1,91,0,0,0,91,91,0,0,91,51,91,1,-1,0,0,0,0,4641
528,1,528,60,100,528,0,528,0,0,528,60,528,1,-1,0,0,0,0,31680
273,1,273,0,0,0,273,273,0,0,273,59,273,1,-1,0,0,0,0,16107
158,1,158,0,0,0,158,158,0,0,158,55,158,2,-1,0,0,0,0,8690
177,1,177,0,0,0,177,0,0,0,177,35,177,1,-1,0,0,0,0,6195
258,1,258,0,0,0,258,0,0,0,258,57,258,1,-1,0,0,0,0,14706
172,1,172,0,0,0,172,0,0,0,172,31,172,1,-1,0,0,0,0,5332
154,1,154,0,0,0,154,0,0,0,154,54,154,1,-1,0,0,0,0,8316
291,1,291,0,0,0,291,291,0,0,291,55,291,1,-1,0,0,0,0,16005
181,1,181,0,0,0,181,181,0,0,181,43,181,1,-1,0,0,0,0,7783
176,1,176,0,0,0,176,176,0,0,176,53,176,1,-1,0,0,0,0,9328
211,1,211,44,582,211,0,0,0,0,211,44,211,1,-1,0,0,0,0,9284
349,1,349,55,91,349,0,349,0,0,349,55,349,1,-1,0,0,0,0,19195
272,1,272,0,0,0,272,0,0,0,272,49,272,1,-1,0,0,0,0,13328
208,1,0,0,0,0,208,208,0,0,208,55,208,1,-1,0,0,0,0,11440
193,1,193,0,0,0,193,193,0,0,193,45,193,1,-1,0,0,0,0,8685
212,1,212,47,164,212,0,212,0,0,212,47,212,1,-1,0,0,0,0,9964
20,1,20,0,0,0,20,20,0,0,20,42,20,1,-1,0,0,0,0,840
1042,1,1042,0,0,0,1042,1042,0,0,1042,59,1042,1,-1,0,0,0,0,61478
246,1,246,0,0,0,246,0,0,0,246,46,246,1,-1,0,0,0,0,11316
529,1,529,0,0,0,529,529,0,0,529,51,529,2,-1,0,0,0,0,26979
1467,1,1467,56,45,1467,0,1467,0,0,1467,56,1467,1,-1,0,0,0,0,82152
1389,1,1389,0,0,0,1389,1389,0,0,1389,41,1389,1,-1,0,0,0,0,56949
188,1,188,0,0,0,188,0,0,0,188,46,188,2,-1,0,0,0,0,8648
180,1,180,0,0,0,180,180,0,0,180,57,180,2,-1,0,0,0,0,10260
48,1,48,42,50,48,0,48,0,0,48,42,48,1,-1,0,0,0,0,2016
213,1,213,0,0,0,213,0,0,0,213,30,213,2,-1,0,0,0,0,6390
583,1,583,0,0,0,583,583,0,0,583,60,583,1,-1,0,0,0,0,34980
221,1,221,0,0,0,221,221,0,0,221,60,221,1,-1,0,0,0,0,13260
173,1,173,57,-37,173,0,173,0,0,173,57,173,1,-1,0,0,0,0,9861
426,1,426,0,0,0,426,0,0,0,426,36,426,1,-1,0,0,0,0,15336
287,1,287,55,383,287,0,287,0,0,287,55,287,1,-1,0,0,0,0,15785
101,1,101,0,0,0,101,101,0,0,101,60,101,1,-1,0,0,0,0,6060
203,1,203,0,0,0,203,203,0,0,203,39,203,1,-1,0,0,0,0,7917
197,1,197,0,0,0,197,197,0,0,197,46,197,1,-1,0,0,0,0,9062
257,1,257,0,0,0,257,257,0,0,257,44,257,1,-1,0,0,0,0,11308
124,1,124,53,90,124,0,124,0,0,124,53,124,1,-1,0,0,0,0,6572
229,1,229,0,0,0,229,229,0,0,229,52,229,1,-1,0,0,0,0,11908
55,1,55,0,0,0,55,55,0,0,55,59,55,3,-1,0,0,0,0,3245
400,1,400,0,0,0,400,400,0,0,400,27,400,1,-1,0,0,0,0,10800
197,1,197,0,0,0,197,197,0,0,197,44,197,1,-1,0,0,0,0,8668
190,1,190,0,0,0,190,190,0,0,190,47,190,1,-1,0,0,0,0,8930
21,1,21,34,61,21,0,0,0,0,21,34,21,1,-1,0,0,0,0,714
514,1,514,0,0,0,514,514,0,0,514,59,514,1,-1,0,0,0,0,30326
849,1,849,0,0,0,849,849,0,0,849,45,849,2,-1,0,0,0,0,38205
194,1,194,0,0,0,194,194,0,0,194,29,194,1,-1,0,0,0,0,5626
144,1,144,46,79,144,0,144,0,0,144,46,144,1,-1,0,0,0,0,6624
212,1,212,0,0,0,212,0,0,0,212,56,212,2,-1,0,0,0,0,11872
286,1,286,0,0,0,286,286,0,0,286,36,286,1,-1,0,0,0,0,10296
107,1,107,0,0,0,107,107,0,0,107,59,107,1,-1,0,0,0,0,6313
247,1,247,0,0,0,247,247,0,0,247,44,247,2,-1,0,0,0,0,10868
518,1,518,0,0,0,518,518,0,0,518,41,518,1,-1,0,0,0,0,21238
364,1,364,0,0,0,364,364,0,0,364,33,364,1,-1,0,0,0,0,12012
178,1,178,59,262,178,0,178,0,0,178,59,178,1,-1,0,0,0,0,10502
98,1,98,57,0,98,0,98,0,0,98,57,98,1,-1,0,0,0,0,5586
439,1,439,0,0,0,439,439,0,0,439,56,439,1,-1,0,0,0,0,24584
79,1,79,0,0,0,79,79,0,0,79,51,79,1,-1,0,0,0,0,4029
120,1,120,0,0,0,120,120,0,0,120,34,120,3,-1,0,0,0,0,4080
127,1,127,0,0,0,127,0,0,0,127,43,127,2,-1,0,0,0,0,5461
175,1,175,52,7,175,0,0,0,0,175,52,175,1,-1,0,0,0,0,9100
262,1,262,0,0,0,262,262,0,0,262,33,262,2,-1,0,0,0,0,8646
61,1,61,0,0,0,61,0,0,0,61,29,61,1,-1,0,0,0,0,1769
78,1,78,0,0,0,78,0,0,0,78,34,78,1,-1,0,0,0,0,2652
143,1,143,0,0,0,143,143,0,0,143,31,143,1,-1,0,0,0,0,4433
579,1,579,0,0,0,579,579,0,0,579,55,579,1,-1,0,0,0,0,31845
677,1,677,55,1185,677,0,677,0,0,677,55,677,1,-1,0,0,0,0,37235
345,1,345,0,0,0,345,345,0,0,345,32,345,1,-1,0,0,0,0,11040
185,1,185,0,0,0,185,185,0,0,185,38,185,1,-1,0,0,0,0,7030
100,1,100,0,0,0,100,0,0,0,100,55,100,2,-1,0,0,0,0,5500
125,1,125,0,0,0,125,125,0,0,125,28,125,2,-1,0,0,0,0,3500
193,1,193,0,0,0,193,193,0,0,193,23,193,1,-1,0,0,0,0,4439
136,1,136,0,0,0,136,136,0,0,136,32,136,1,-1,0,0,0,0,4352
73,1,73,43,0,73,0,73,0,0,73,43,73,1,-1,0,0,0,0,3139
528,1,528,0,0,0,528,528,0,0,528,32,528,1,-1,0,0,0,0,16896
541,1,541,0,0,0,541,541,0,0,541,46,541,1,-1,0,0,0,0,24886
163,1,163,0,0,0,163,163,0,0,163,53,163,1,-1,0,0,0,0,8639
301,1,301,0,0,0,301,301,0,0,301,34,301,1,-1,0,0,0,0,10234
46,1,46,57,42,46,0,46,0,0,46,57,46,1,-1,0,0,0,0,2622
204,1,204,0,0,0,204,204,0,0,204,37,204,1,-1,0,0,0,0,7548
98,1,98,0,0,0,98,98,0,0,98,59,98,1,-1,0,0,0,0,5782
71,1,71,0,0,0,71,71,0,0,71,33,71,1,-1,0,0,0,0,2343
157,1,157,0,0,0,157,157,0,0,157,56,157,2,-1,0,0,0,0,8792
243,1,243,0,0,0,243,243,0,0,243,48,243,1,-1,0,0,0,0,11664
186,1,186,0,0,0,186,186,0,0,186,43,186,2,-1,0,0,0,0,7998
579,1,579,0,0,0,579,579,0,0,579,54,579,2,-1,0,0,0,0,31266
163,1,163,0,0,0,163,163,0,0,163,51,163,2,-1,0,0,0,0,8313
610,1,610,0,0,0,610,610,0,0,610,26,610,2,-1,0,0,0,0,15860
2033,1,2033,0,0,0,2033,2033,0,0,2033,40,2033,1,-1,0,0,0,0,81320
85,1,85,0,0,0,85,85,0,0,85,39,85,1,-1,0,0,0,0,3315
114,1,114,50,139,114,0,114,0,0,114,50,114,2,-1,0,0,0,0,5700
114,1,114,0,0,0,114,114,0,0,114,41,114,2,-1,0,0,0,0,4674
57,1,57,0,0,0,57,57,0,0,57,51,57,1,-1,0,0,0,0,2907
238,1,238,0,0,0,238,238,0,0,238,60,238,1,-1,0,0,0,0,14280
93,1,93,0,0,0,93,93,0,0,93,52,93,3,-1,0,0,0,0,4836
128,1,128,0,0,0,128,128,0,0,128,48,128,2,-1,0,0,0,0,6144
107,1,107,0,0,0,107,107,0,0,107,48,107,1,-1,0,0,0,0,5136
181,1,181,0,0,0,181,181,0,0,181,39,181,1,-1,0,0,0,0,7059
303,1,303,0,0,0,303,303,0,0,303,47,303,2,-1,0,0,0,0,14241
558,1,558,0,0,0,558,558,0,0,558,40,558,5,-1,0,0,0,0,22320
270,1,270,0,0,0,270,270,0,0,270,45,270,1,-1,0,0,0,0,12150
228,1,228,0,0,0,228,228,0,0,228,26,228,1,-1,0,0,0,0,5928
99,1,99,0,0,0,99,99,0,0,99,52,99,1,-1,0,0,0,0,5148
240,1,240,0,0,0,240,240,0,0,240,54,240,1,-1,0,0,0,0,12960
673,1,673,54,184,673,0,673,0,0,673,54,673,2,-1,0,0,0,0,36342
233,1,233,50,0,233,0,233,0,0,233,50,233,3,-1,0,0,0,0,11650
1056,1,1056,0,0,0,1056,1056,0,0,1056,35,1056,1,-1,0,0,0,0,36960
250,1,250,0,0,0,250,0,0,0,250,44,250,1,-1,0,0,0,0,11000
252,1,252,0,0,0,252,252,0,0,252,53,252,1,-1,0,0,0,0,13356
138,1,138,35,434,138,0,138,0,0,138,35,138,1,-1,0,0,0,0,4830
130,1,130,0,0,0,130,130,0,0,130,60,130,1,-1,0,0,0,0,7800
412,1,412,0,0,0,412,412,0,0,412,53,412,1,-1,0,0,0,0,21836
179,1,179,0,0,0,179,179,0,0,179,48,179,2,-1,0,0,0,0,8592
19,1,19,0,0,0,19,19,0,0,19,34,19,2,-1,0,0,0,0,646
458,1,458,0,0,0,458,458,0,0,458,54,458,2,-1,0,0,0,0,24732
717,1,717,0,0,0,717,717,0,0,717,51,717,1,-1,0,0,0,0,36567
313,1,313,0,0,0,313,313,0,0,313,31,313,1,-1,0,0,0,0,9703
683,1,683,0,0,0,683,683,0,0,683,35,683,2,-1,0,0,0,0,23905
1077,1,1077,0,0,0,1077,1077,0,0,1077,35,1077,1,-1,0,0,0,0,37695
416,1,416,0,0,0,416,416,0,0,416,38,416,1,-1,0,0,0,0,15808
146,1,146,0,0,0,146,146,0,0,146,36,146,2,-1,0,0,0,0,5256
167,1,167,0,0,0,167,167,0,0,167,58,167,1,-1,0,0,0,0,9686
315,1,315,0,0,0,315,315,0,0,315,40,315,1,-1,0,0,0,0,12600
140,1,140,54,4080,140,0,140,0,0,140,54,140,1,-1,0,0,0,0,7560
346,1,346,0,0,0,346,0,0,0,346,34,346,1,-1,0,0,0,0,11764
562,1,562,0,0,0,562,562,0,0,562,31,562,1,-1,0,0,0,0,17422
172,1,172,0,0,0,172,172,0,0,172,51,172,1,-1,0,0,0,0,8772
217,1,217,0,0,0,217,217,0,0,217,33,217,1,-1,0,0,0,0,7161
142,1,142,0,0,0,142,142,0,0,142,55,142,2,-1,0,0,0,0,7810
67,1,67,0,0,0,67,67,0,0,67,42,67,1,-1,0,0,0,0,2814
291,1,291,0,0,0,291,291,0,0,291,34,291,1,-1,0,0,0,0,9894
309,1,309,0,0,0,309,309,0,0,309,33,309,2,-1,0,0,0,0,10197
248,1,248,0,0,0,248,248,0,0,248,38,248,1,-1,0,0,0,0,9424
98,1,98,50,173,98,0,0,0,0,98,50,98,1,-1,0,0,0,0,4900
256,1,256,0,0,0,256,256,0,0,256,43,256,1,-1,0,0,0,0,11008
82,1,82,0,0,0,82,82,0,0,82,61,82,2,-1,0,0,0,0,5002
577,1,577,0,0,0,577,577,0,0,577,47,577,1,-1,0,0,0,0,27119
286,1,286,0,0,0,286,286,0,0,286,48,286,1,-1,0,0,0,0,13728
477,1,477,0,0,0,477,477,0,0,477,44,477,1,-1,0,0,0,0,20988
611,1,611,0,0,0,611,611,0,0,611,35,611,2,-1,0,0,0,0,21385
471,1,471,0,0,0,471,471,0,0,471,35,471,1,-1,0,0,0,0,16485
381,1,381,0,0,0,381,381,0,0,381,50,381,2,-1,0,0,0,0,19050
42,1,42,0,0,0,42,0,0,0,42,41,42,1,-1,0,0,0,0,1722
251,1,251,0,0,0,251,251,0,0,251,41,251,1,-1,0,0,0,0,10291
408,1,408,0,0,0,408,408,0,0,408,39,408,1,-1,0,0,0,0,15912
215,1,215,0,0,0,215,215,0,0,215,42,215,1,-1,0,0,0,0,9030
287,1,287,0,0,0,287,287,0,0,287,38,287,1,-1,0,0,0,0,10906
216,1,216,0,0,0,216,216,0,0,216,53,216,2,-1,0,0,0,0,11448
366,1,366,59,195,366,0,366,0,0,366,59,366,2,-1,0,0,0,0,21594
210,1,210,0,0,0,210,210,0,0,210,36,210,1,-1,0,0,0,0,7560
288,1,288,0,0,0,288,288,0,0,288,54,288,1,-1,0,0,0,0,15552
168,1,168,0,0,0,168,168,0,0,168,40,168,1,-1,0,0,0,0,6720
338,1,338,47,28,338,0,338,0,0,338,47,338,2,-1,0,0,0,0,15886
410,1,410,53,13,410,0,410,0,0,410,53,410,3,-1,0,0,0,0,21730
177,1,177,46,965,177,0,177,0,0,177,46,177,1,-1,0,0,0,0,8142
127,1,127,0,0,0,127,0,0,0,127,39,127,2,-1,0,0,0,0,4953
357,1,357,0,0,0,357,357,0,0,357,40,357,1,-1,0,0,0,0,14280
175,1,175,0,0,0,175,175,0,0,175,28,175,1,-1,0,0,0,0,4900
300,1,300,0,0,0,300,300,0,0,300,35,300,1,-1,0,0,0,0,10500
136,1,136,55,0,136,0,0,0,0,136,55,136,1,-1,0,0,0,0,7480
1419,1,1419,0,0,0,1419,1419,0,0,1419,43,1419,1,-1,0,0,0,0,61017
125,1,125,0,0,0,125,125,0,0,125,48,125,2,-1,0,0,0,0,6000
213,1,213,0,0,0,213,213,0,0,213,58,213,3,-1,0,0,0,0,12354
27,1,27,0,0,0,27,27,0,0,27,33,27,1,-1,0,0,0,0,891
238,1,238,36,1033,238,0,238,0,0,238,36,238,2,-1,0,0,0,0,8568
124,1,124,0,0,0,124,124,0,0,124,53,124,1,-1,0,0,0,0,6572
18,1,18,0,0,0,18,18,0,0,18,47,18,1,-1,0,0,0,0,846
730,1,730,0,0,0,730,730,0,0,730,31,730,2,-1,0,0,0,0,22630
746,1,746,0,0,0,746,746,0,0,746,57,746,2,-1,0,0,0,0,42522
121,1,121,53,1827,121,0,121,0,0,121,53,121,1,-1,0,0,0,0,6413
247,1,247,0,0,0,247,247,0,0,247,55,247,1,-1,0,0,0,0,13585
40,1,40,0,0,0,40,40,0,0,40,45,40,1,-1,0,0,0,0,1800
181,1,181,0,0,0,181,181,0,0,181,53,181,2,-1,0,0,0,0,9593
79,1,79,0,0,0,79,79,0,0,79,37,79,1,-1,0,0,0,0,2923
206,1,206,0,0,0,206,206,0,0,206,44,206,1,-1,0,0,0,0,9064
389,1,389,0,0,0,389,0,0,0,389,49,389,1,-1,0,0,0,0,19061
127,1,127,0,0,0,127,0,0,0,127,46,127,1,-1,0,0,0,0,5842
702,1,702,0,0,0,702,702,0,0,702,43,702,1,-1,0,0,0,0,30186
151,1,151,38,0,151,0,151,0,0,151,38,151,1,-1,0,0,0,0,5738
117,1,117,0,0,0,117,117,0,0,117,43,117,1,-1,0,0,0,0,5031
232,1,232,0,0,0,232,232,0,0,232,49,232,3,-1,0,0,0,0,11368
408,1,408,42,275,408,0,408,0,0,408,42,408,2,-1,0,0,0,0,17136
179,1,179,0,0,0,179,179,0,0,179,22,179,2,-1,0,0,0,0,3938
39,1,39,0,0,0,39,39,0,0,39,40,39,1,-1,0,0,0,0,1560
282,1,282,0,0,0,282,282,0,0,282,39,282,1,-1,0,0,0,0,10998
714,1,714,0,0,0,714,714,0,0,714,51,714,2,-1,0,0,0,0,36414
50,1,50,0,0,0,50,50,0,0,50,49,50,1,-1,0,0,0,0,2450
181,1,181,0,0,0,181,0,0,0,181,53,181,1,-1,0,0,0,0,9593
142,1,142,0,0,0,142,142,0,0,142,34,142,1,-1,0,0,0,0,4828
227,1,227,0,0,0,227,227,0,0,227,33,227,1,-1,0,0,0,0,7491
119,1,119,0,0,0,119,119,0,0,119,50,119,1,-1,0,0,0,0,5950
361,1,361,0,0,0,361,361,0,0,361,39,361,1,-1,0,0,0,0,14079
73,1,73,0,0,0,73,73,0,0,73,59,73,3,-1,0,0,0,0,4307
67,1,67,0,0,0,67,67,0,0,67,30,67,2,-1,0,0,0,0,2010
350,1,350,0,0,0,350,0,0,0,350,36,350,1,-1,0,0,0,0,12600
332,1,332,0,0,0,332,332,0,0,332,40,332,2,-1,0,0,0,0,13280
611,1,611,0,0,0,611,611,0,0,611,53,611,2,-1,0,0,0,0,32383
113,1,113,0,0,0,113,113,0,0,113,34,113,2,-1,0,0,0,0,3842
132,1,132,0,0,0,132,132,0,0,132,37,132,1,-1,0,0,0,0,4884
58,1,58,0,0,0,58,58,0,0,58,42,58,3,-1,0,0,0,0,2436
151,1,151,0,0,0,151,151,0,0,151,41,151,1,-1,0,0,0,0,6191
89,1,89,0,0,0,89,89,0,0,89,30,89,2,-1,0,0,0,0,2670
152,1,152,0,0,0,152,152,0,0,152,37,152,1,-1,0,0,0,0,5624
611,1,611,0,0,0,611,611,0,0,611,39,611,2,-1,0,0,0,0,23829
110,1,110,0,0,0,110,0,0,0,110,41,110,2,-1,0,0,0,0,4510
463,1,463,0,0,0,463,463,0,0,463,40,463,1,-1,0,0,0,0,18520
562,1,562,0,0,0,562,0,0,0,562,42,562,2,-1,0,0,0,0,23604
962,1,962,0,0,0,962,962,0,0,962,40,962,1,-1,0,0,0,0,38480
10,1,10,0,0,0,10,10,0,0,10,57,10,4,-1,0,0,0,0,570
118,1,118,56,155,118,0,118,0,0,118,56,118,3,-1,0,0,0,0,6608
92,1,92,0,0,0,92,92,0,0,92,37,92,2,-1,0,0,0,0,3404
143,1,143,0,0,0,143,143,0,0,143,59,143,3,-1,0,0,0,0,8437
189,1,189,0,0,0,189,189,0,0,189,39,189,3,-1,0,0,0,0,7371
234,1,234,49,47,234,0,234,0,0,234,49,234,2,-1,0,0,0,0,11466
75,1,75,0,0,0,75,75,0,0,75,38,75,2,-1,0,0,0,0,2850
189,1,189,36,19,189,0,189,0,0,189,36,189,2,-1,0,0,0,0,6804
621,1,621,0,0,0,621,621,0,0,621,50,621,3,-1,0,0,0,0,31050
55,1,55,0,0,0,55,0,0,0,55,41,55,2,-1,0,0,0,0,2255
310,1,310,54,258,310,0,310,0,0,310,54,310,4,-1,0,0,0,0,16740
156,1,156,0,0,0,156,156,0,0,156,58,156,2,-1,0,0,0,0,9048
5,1,5,0,0,0,5,5,0,0,5,30,5,2,-1,0,0,0,0,150
225,1,225,0,0,0,225,225,0,0,225,33,225,2,-1,0,0,0,0,7425
125,1,125,0,0,0,125,125,0,0,125,47,125,2,-1,0,0,0,0,5875
2,1,2,0,0,0,2,2,0,0,2,50,2,3,-1,0,0,0,0,100
286,1,286,0,0,0,286,286,0,0,286,32,286,2,-1,0,0,0,0,9152
164,1,164,0,0,0,164,164,0,0,164,40,164,2,-1,0,0,0,0,6560
98,1,98,0,0,0,98,98,0,0,98,37,98,2,-1,0,0,0,0,3626
742,1,742,0,0,0,742,742,0,0,742,54,742,2,-1,0,0,0,0,40068
226,1,226,0,0,0,226,226,0,0,226,24,226,3,-1,0,0,0,0,5424
120,1,120,54,0,120,0,120,0,0,120,54,120,2,-1,0,0,0,0,6480
362,1,362,0,0,0,362,362,0,0,362,34,362,4,-1,0,0,0,0,12308
357,1,357,0,0,0,357,357,0,0,357,56,357,2,-1,0,0,0,0,19992
200,1,200,0,0,0,200,200,0,0,200,31,200,2,-1,0,0,0,0,6200
204,1,204,0,0,0,204,204,0,0,204,24,204,2,-1,0,0,0,0,4896
126,1,126,0,0,0,126,126,0,0,126,42,126,3,-1,0,0,0,0,5292
65,1,65,0,0,0,65,65,0,0,65,57,65,2,-1,0,0,0,0,3705
107,1,107,0,0,0,107,107,0,0,107,42,107,2,-1,0,0,0,0,4494
267,1,267,0,0,0,267,267,0,0,267,51,267,2,-1,0,0,0,0,13617
248,1,248,0,0,0,248,248,0,0,248,57,248,2,-1,0,0,0,0,14136
215,1,215,0,0,0,215,215,0,0,215,36,215,2,-1,0,0,0,0,7740
209,1,209,0,0,0,209,209,0,0,209,53,209,2,-1,0,0,0,0,11077
205,1,205,0,0,0,205,205,0,0,205,50,205,2,-1,0,0,0,0,10250
83,1,83,0,0,0,83,83,0,0,83,54,83,2,-1,0,0,0,0,4482
106,1,106,0,0,0,106,106,0,0,106,55,106,3,-1,0,0,0,0,5830
189,1,189,0,0,0,189,0,0,0,189,44,189,2,-1,0,0,0,0,8316
105,1,105,0,0,0,105,105,0,0,105,43,105,2,-1,0,0,0,0,4515
106,1,106,0,0,0,106,106,0,0,106,56,106,2,-1,0,0,0,0,5936
108,1,108,0,0,0,108,108,0,0,108,54,108,2,-1,0,0,0,0,5832
311,1,311,0,0,0,311,0,0,0,311,55,311,2,-1,0,0,0,0,17105
214,1,214,0,0,0,214,0,0,0,214,37,214,2,-1,0,0,0,0,7918
132,1,132,33,193,132,0,132,0,0,132,33,132,2,-1,0,0,0,0,4356
358,1,358,0,0,0,358,358,0,0,358,46,358,2,-1,0,0,0,0,16468
453,1,453,0,0,0,453,0,0,0,453,36,453,2,-1,0,0,0,0,16308
364,1,364,0,0,0,364,364,0,0,364,51,364,2,-1,0,0,0,0,18564
136,1,136,40,0,136,0,136,0,0,136,40,136,2,-1,0,0,0,0,5440
386,1,386,0,0,0,386,386,0,0,386,42,386,2,-1,0,0,0,0,16212
173,1,173,0,0,0,173,173,0,0,173,51,173,2,-1,0,0,0,0,8823
241,1,241,0,0,0,241,241,0,0,241,49,241,2,-1,0,0,0,0,11809
224,1,224,0,0,0,224,224,0,0,224,48,224,3,-1,0,0,0,0,10752
148,1,148,32,2558,148,0,148,0,0,148,32,148,2,-1,0,0,0,0,4736
