duration,pdays,year_2008,balance_education_secondary,balance_education_tertiary,duration_default_no,balance_housing_no,duration_housing_no,duration_loan_no,duration_contact_cellular,age_month_1,duration_month_10,duration_month_11,age_month_2,duration_month_3,age_month_5,duration_poutcome_success,age_year_2009,duration_year_2010,duration_age
178,-1,1,0,262,178,262,178,178,0,0,0,0,0,0,59,0,0,0,10502
98,-1,1,0,0,98,0,98,98,0,0,0,0,0,0,57,0,0,0,5586
439,-1,1,0,0,439,0,0,439,0,0,0,0,0,0,56,0,0,0,24584
79,-1,1,26,0,79,0,0,79,0,0,0,0,0,0,51,0,0,0,4029
120,-1,1,0,0,120,0,0,120,0,0,0,0,0,0,34,0,0,0,4080
127,-1,1,41,0,127,0,0,0,0,0,0,0,0,0,43,0,0,0,5461
175,-1,1,0,7,175,7,175,0,0,0,0,0,0,0,52,0,0,0,9100
262,-1,1,105,0,262,0,0,262,0,0,0,0,0,0,33,0,0,0,8646
61,-1,1,818,0,61,0,0,0,0,0,0,0,0,0,29,0,0,0,1769
78,-1,1,-16,0,78,0,0,0,0,0,0,0,0,0,34,0,0,0,2652
143,-1,1,0,0,143,0,0,143,0,0,0,0,0,0,31,0,0,0,4433
579,-1,1,2476,0,579,0,0,579,0,0,0,0,0,0,55,0,0,0,31845
677,-1,1,0,0,677,1185,677,677,0,0,0,0,0,0,55,0,0,0,37235
345,-1,1,217,0,345,0,0,345,0,0,0,0,0,0,32,0,0,0,11040
185,-1,1,1685,0,185,0,0,185,0,0,0,0,0,0,38,0,0,0,7030
100,-1,1,802,0,100,0,0,0,0,0,0,0,0,0,55,0,0,0,5500
125,-1,1,0,0,125,0,0,125,0,0,0,0,0,0,28,0,0,0,3500
193,-1,1,94,0,193,0,0,193,0,0,0,0,0,0,23,0,0,0,4439
136,-1,1,0,0,136,0,0,136,0,0,0,0,0,0,32,0,0,0,4352
73,-1,1,0,0,73,0,73,73,0,0,0,0,0,0,43,0,0,0,3139
528,-1,1,517,0,528,0,0,528,0,0,0,0,0,0,32,0,0,0,16896
541,-1,1,265,0,541,0,0,541,0,0,0,0,0,0,46,0,0,0,24886
163,-1,1,0,0,163,0,0,163,0,0,0,0,0,0,53,0,0,0,8639
301,-1,1,3,0,301,0,0,301,0,0,0,0,0,0,34,0,0,0,10234
46,-1,1,0,42,46,42,46,46,0,0,0,0,0,0,57,0,0,0,2622
204,-1,1,37,0,204,0,0,204,0,0,0,0,0,0,37,0,0,0,7548
98,-1,1,57,0,98,0,0,98,0,0,0,0,0,0,59,0,0,0,5782
71,-1,1,22,0,71,0,0,71,0,0,0,0,0,0,33,0,0,0,2343
157,-1,1,0,0,157,0,0,157,0,0,0,0,0,0,56,0,0,0,8792
243,-1,1,293,0,243,0,0,243,0,0,0,0,0,0,48,0,0,0,11664
186,-1,1,0,0,186,0,0,186,0,0,0,0,0,0,43,0,0,0,7998
579,-1,1,0,0,579,0,0,579,0,0,0,0,0,0,54,0,0,0,31266
163,-1,1,0,0,163,0,0,163,0,0,0,0,0,0,51,0,0,0,8313
610,-1,1,0,0,610,0,0,610,0,0,0,0,0,0,26,0,0,0,15860
2033,-1,1,0,-4,2033,0,0,2033,0,0,0,0,0,0,40,0,0,0,81320
85,-1,1,18,0,85,0,0,85,0,0,0,0,0,0,39,0,0,0,3315
114,-1,1,0,0,114,139,114,114,0,0,0,0,0,0,50,0,0,0,5700
114,-1,1,0,0,114,0,0,114,0,0,0,0,0,0,41,0,0,0,4674
57,-1,1,0,0,57,0,0,57,0,0,0,0,0,0,51,0,0,0,2907
238,-1,1,216,0,238,0,0,238,0,0,0,0,0,0,60,0,0,0,14280
93,-1,1,782,0,93,0,0,93,0,0,0,0,0,0,52,0,0,0,4836
128,-1,1,904,0,128,0,0,128,0,0,0,0,0,0,48,0,0,0,6144
107,-1,1,0,0,107,0,0,107,0,0,0,0,0,0,48,0,0,0,5136
181,-1,1,0,47,181,0,0,181,0,0,0,0,0,0,39,0,0,0,7059
303,-1,1,176,0,303,0,0,303,0,0,0,0,0,0,47,0,0,0,14241
558,-1,1,1225,0,558,0,0,558,0,0,0,0,0,0,40,0,0,0,22320
270,-1,1,86,0,270,0,0,270,0,0,0,0,0,0,45,0,0,0,12150
228,-1,1,82,0,228,0,0,228,0,0,0,0,0,0,26,0,0,0,5928
99,-1,1,0,271,99,0,0,99,0,0,0,0,0,0,52,0,0,0,5148
240,-1,1,1378,0,240,0,0,240,0,0,0,0,0,0,54,0,0,0,12960
673,-1,1,0,184,673,184,673,673,0,0,0,0,0,0,54,0,0,0,36342
233,-1,1,0,0,233,0,233,233,0,0,0,0,0,0,50,0,0,0,11650
1056,-1,1,0,0,1056,0,0,1056,0,0,0,0,0,0,35,0,0,0,36960
250,-1,1,1357,0,250,0,0,0,0,0,0,0,0,0,44,0,0,0,11000
252,-1,1,0,0,252,0,0,252,0,0,0,0,0,0,53,0,0,0,13356
138,-1,1,0,0,138,434,138,138,0,0,0,0,0,0,35,0,0,0,4830
130,-1,1,92,0,130,0,0,130,0,0,0,0,0,0,60,0,0,0,7800
412,-1,1,1151,0,412,0,0,412,0,0,0,0,0,0,53,0,0,0,21836
179,-1,1,41,0,179,0,0,179,0,0,0,0,0,0,48,0,0,0,8592
19,-1,1,51,0,19,0,0,19,0,0,0,0,0,0,34,0,0,0,646
458,-1,1,214,0,458,0,0,458,0,0,0,0,0,0,54,0,0,0,24732
717,-1,1,1161,0,717,0,0,717,0,0,0,0,0,0,51,0,0,0,36567
313,-1,1,0,37,313,0,0,313,0,0,0,0,0,0,31,0,0,0,9703
683,-1,1,787,0,683,0,0,683,0,0,0,0,0,0,35,0,0,0,23905
1077,-1,1,59,0,1077,0,0,1077,0,0,0,0,0,0,35,0,0,0,37695
416,-1,1,253,0,416,0,0,416,0,0,0,0,0,0,38,0,0,0,15808
146,-1,1,0,211,146,0,0,146,0,0,0,0,0,0,36,0,0,0,5256
167,-1,1,0,0,167,0,0,167,0,0,0,0,0,0,58,0,0,0,9686
315,-1,1,0,0,315,0,0,315,0,0,0,0,0,0,40,0,0,0,12600
140,-1,1,4080,0,140,4080,140,140,0,0,0,0,0,0,54,0,0,0,7560
346,-1,1,53,0,346,0,0,0,0,0,0,0,0,0,34,0,0,0,11764
562,-1,1,0,0,562,0,0,562,0,0,0,0,0,0,31,0,0,0,17422
172,-1,1,2127,0,172,0,0,172,0,0,0,0,0,0,51,0,0,0,8772
217,-1,1,0,377,217,0,0,217,0,0,0,0,0,0,33,0,0,0,7161
142,-1,1,0,73,142,0,0,142,0,0,0,0,0,0,55,0,0,0,7810
67,-1,1,445,0,67,0,0,67,0,0,0,0,0,0,42,0,0,0,2814
291,-1,1,243,0,291,0,0,291,0,0,0,0,0,0,34,0,0,0,9894
309,-1,1,307,0,309,0,0,309,0,0,0,0,0,0,33,0,0,0,10197
248,-1,1,155,0,248,0,0,248,0,0,0,0,0,0,38,0,0,0,9424
98,-1,1,0,173,98,173,98,0,0,0,0,0,0,0,50,0,0,0,4900
256,-1,1,0,400,256,0,0,256,0,0,0,0,0,0,43,0,0,0,11008
82,-1,1,0,0,82,0,0,82,0,0,0,0,0,0,61,0,0,0,5002
577,-1,1,219,0,577,0,0,577,0,0,0,0,0,0,47,0,0,0,27119
286,-1,1,0,7,286,0,0,286,0,0,0,0,0,0,48,0,0,0,13728
477,-1,1,575,0,477,0,0,477,0,0,0,0,0,0,44,0,0,0,20988
611,-1,1,0,0,611,0,0,611,0,0,0,0,0,0,35,0,0,0,21385
471,-1,1,0,0,471,0,0,471,0,0,0,0,0,0,35,0,0,0,16485
381,-1,1,5699,0,381,0,0,381,0,0,0,0,0,0,50,0,0,0,19050
42,-1,1,0,176,42,0,0,0,0,0,0,0,0,0,41,0,0,0,1722
251,-1,1,0,517,251,0,0,251,0,0,0,0,0,0,41,0,0,0,10291
408,-1,1,0,0,408,0,0,408,0,0,0,0,0,0,39,0,0,0,15912
215,-1,1,56,0,215,0,0,215,0,0,0,0,0,0,42,0,0,0,9030
287,-1,1,-390,0,287,0,0,287,0,0,0,0,0,0,38,0,0,0,10906
216,-1,1,330,0,216,0,0,216,0,0,0,0,0,0,53,0,0,0,11448
366,-1,1,0,0,366,195,366,366,0,0,0,0,0,0,59,0,0,0,21594
210,-1,1,301,0,210,0,0,210,0,0,0,0,0,0,36,0,0,0,7560
288,-1,1,0,0,288,0,0,288,0,0,0,0,0,0,54,0,0,0,15552
168,-1,1,0,483,168,0,0,168,0,0,0,0,0,0,40,0,0,0,6720
338,-1,1,0,0,338,28,338,338,0,0,0,0,0,0,47,0,0,0,15886
410,-1,1,0,0,410,13,410,410,0,0,0,0,0,0,53,0,0,0,21730
177,-1,1,0,0,177,965,177,177,0,0,0,0,0,0,46,0,0,0,8142
127,-1,1,0,378,127,0,0,0,0,0,0,0,0,0,39,0,0,0,4953
357,-1,1,219,0,357,0,0,357,0,0,0,0,0,0,40,0,0,0,14280
175,-1,1,0,0,175,0,0,175,0,0,0,0,0,0,28,0,0,0,4900
300,-1,1,-69,0,300,0,0,300,0,0,0,0,0,0,35,0,0,0,10500
136,-1,1,0,0,136,0,136,0,0,0,0,0,0,0,55,0,0,0,7480
1419,-1,1,0,0,1419,0,0,1419,0,0,0,0,0,0,43,0,0,0,61017
125,-1,1,0,0,125,0,0,125,0,0,0,0,0,0,48,0,0,0,6000
213,-1,1,0,0,213,0,0,213,0,0,0,0,0,0,58,0,0,0,12354
27,-1,1,0,34,27,0,0,27,0,0,0,0,0,0,33,0,0,0,891
238,-1,1,0,0,238,1033,238,238,0,0,0,0,0,0,36,0,0,0,8568
124,-1,1,1467,0,124,0,0,124,0,0,0,0,0,0,53,0,0,0,6572
18,-1,1,0,0,18,0,0,18,0,0,0,0,0,0,47,0,0,0,846
730,-1,1,388,0,730,0,0,730,0,0,0,0,0,0,31,0,0,0,22630
746,-1,1,294,0,746,0,0,746,0,0,0,0,0,0,57,0,0,0,42522
121,-1,1,0,0,121,1827,121,121,0,0,0,0,0,0,53,0,0,0,6413
247,-1,1,0,0,247,0,0,247,0,0,0,0,0,0,55,0,0,0,13585
40,-1,1,0,0,40,0,0,40,0,0,0,0,0,0,45,0,0,0,1800
181,-1,1,315,0,181,0,0,181,0,0,0,0,0,0,53,0,0,0,9593
79,-1,1,0,0,79,0,0,79,0,0,0,0,0,0,37,0,0,0,2923
206,-1,1,66,0,206,0,0,206,0,0,0,0,0,0,44,0,0,0,9064
389,-1,1,0,0,389,0,0,0,0,0,0,0,0,0,49,0,0,0,19061
127,-1,1,349,0,127,0,0,0,0,0,0,0,0,0,46,0,0,0,5842
702,-1,1,0,0,702,0,0,702,0,0,0,0,0,0,43,0,0,0,30186
151,-1,1,0,0,151,0,151,151,0,0,0,0,0,0,38,0,0,0,5738
117,-1,1,434,0,117,0,0,117,0,0,0,0,0,0,43,0,0,0,5031
232,-1,1,0,3237,232,0,0,232,0,0,0,0,0,0,49,0,0,0,11368
408,-1,1,0,0,408,275,408,408,0,0,0,0,0,0,42,0,0,0,17136
179,-1,1,0,0,179,0,0,179,0,0,0,0,0,0,22,0,0,0,3938
39,-1,1,0,207,39,0,0,39,0,0,0,0,0,0,40,0,0,0,1560
282,-1,1,483,0,282,0,0,282,0,0,0,0,0,0,39,0,0,0,10998
714,-1,1,2248,0,714,0,0,714,0,0,0,0,0,0,51,0,0,0,36414
50,-1,1,428,0,50,0,0,50,0,0,0,0,0,0,49,0,0,0,2450
181,-1,1,0,0,181,0,0,0,0,0,0,0,0,0,53,0,0,0,9593
142,-1,1,0,0,142,0,0,142,0,0,0,0,0,0,34,0,0,0,4828
227,-1,1,140,0,227,0,0,227,0,0,0,0,0,0,33,0,0,0,7491
119,-1,1,0,297,119,0,0,119,0,0,0,0,0,0,50,0,0,0,5950
361,-1,1,0,0,361,0,0,361,0,0,0,0,0,0,39,0,0,0,14079
73,-1,1,901,0,73,0,0,73,0,0,0,0,0,0,59,0,0,0,4307
67,-1,1,2573,0,67,0,0,67,0,0,0,0,0,0,30,0,0,0,2010
350,-1,1,143,0,350,0,0,0,0,0,0,0,0,0,36,0,0,0,12600
332,-1,1,475,0,332,0,0,332,0,0,0,0,0,0,40,0,0,0,13280
611,-1,1,70,0,611,0,0,611,0,0,0,0,0,0,53,0,0,0,32383
113,-1,1,0,318,113,0,0,113,0,0,0,0,0,0,34,0,0,0,3842
132,-1,1,275,0,132,0,0,132,0,0,0,0,0,0,37,0,0,0,4884
58,-1,1,0,742,58,0,0,58,0,0,0,0,0,0,42,0,0,0,2436
151,-1,1,0,0,151,0,0,151,0,0,0,0,0,0,41,0,0,0,6191
89,-1,1,0,25,89,0,0,89,0,0,0,0,0,0,30,0,0,0,2670
152,-1,1,0,600,152,0,0,152,0,0,0,0,0,0,37,0,0,0,5624
611,-1,1,-349,0,611,0,0,611,0,0,0,0,0,0,39,0,0,0,23829
110,-1,1,0,0,110,0,0,0,0,0,0,0,0,0,41,0,0,0,4510
463,-1,1,0,0,463,0,0,463,0,0,0,0,0,0,40,0,0,0,18520
562,-1,1,0,0,562,0,0,0,0,0,0,0,0,0,42,0,0,0,23604
962,-1,1,0,0,962,0,0,962,0,0,0,0,0,0,40,0,0,0,38480
10,-1,1,1078,0,10,0,0,10,0,0,0,0,0,0,57,0,0,0,570
118,-1,1,155,0,118,155,118,118,0,0,0,0,0,0,56,0,0,0,6608
92,-1,1,190,0,92,0,0,92,0,0,0,0,0,0,37,0,0,0,3404
143,-1,1,319,0,143,0,0,143,0,0,0,0,0,0,59,0,0,0,8437
189,-1,1,-185,0,189,0,0,189,0,0,0,0,0,0,39,0,0,0,7371
234,-1,1,47,0,234,47,234,234,0,0,0,0,0,0,49,0,0,0,11466
75,-1,1,570,0,75,0,0,75,0,0,0,0,0,0,38,0,0,0,2850
189,-1,1,0,19,189,19,189,189,0,0,0,0,0,0,36,0,0,0,6804
621,-1,1,0,0,621,0,0,621,0,0,0,0,0,0,50,0,0,0,31050
55,-1,1,-62,0,55,0,0,0,0,0,0,0,0,0,41,0,0,0,2255
310,-1,1,0,258,310,258,310,310,0,0,0,0,0,0,54,0,0,0,16740
156,-1,1,0,0,156,0,0,156,0,0,0,0,0,0,58,0,0,0,9048
5,-1,1,0,0,5,0,0,5,0,0,0,0,0,0,30,0,0,0,150
225,-1,1,352,0,225,0,0,225,0,0,0,0,0,0,33,0,0,0,7425
125,-1,1,368,0,125,0,0,125,0,0,0,0,0,0,47,0,0,0,5875
2,-1,1,0,339,2,0,0,2,0,0,0,0,0,0,50,0,0,0,100
286,-1,1,1331,0,286,0,0,286,0,0,0,0,0,0,32,0,0,0,9152
164,-1,1,672,0,164,0,0,164,0,0,0,0,0,0,40,0,0,0,6560
98,-1,1,0,58,98,0,0,98,0,0,0,0,0,0,37,0,0,0,3626
742,-1,1,0,0,742,0,0,742,0,0,0,0,0,0,54,0,0,0,40068
226,-1,1,423,0,226,0,0,226,0,0,0,0,0,0,24,0,0,0,5424
120,-1,1,0,0,120,0,120,120,0,0,0,0,0,0,54,0,0,0,6480
362,-1,1,19,0,362,0,0,362,0,0,0,0,0,0,34,0,0,0,12308
357,-1,1,0,0,357,0,0,357,0,0,0,0,0,0,56,0,0,0,19992
200,-1,1,3,0,200,0,0,200,0,0,0,0,0,0,31,0,0,0,6200
204,-1,1,82,0,204,0,0,204,0,0,0,0,0,0,24,0,0,0,4896
126,-1,1,0,0,126,0,0,126,0,0,0,0,0,0,42,0,0,0,5292
65,-1,1,792,0,65,0,0,65,0,0,0,0,0,0,57,0,0,0,3705
107,-1,1,0,0,107,0,0,107,0,0,0,0,0,0,42,0,0,0,4494
267,-1,1,531,0,267,0,0,267,0,0,0,0,0,0,51,0,0,0,13617
248,-1,1,211,0,248,0,0,248,0,0,0,0,0,0,57,0,0,0,14136
215,-1,1,62,0,215,0,0,215,0,0,0,0,0,0,36,0,0,0,7740
209,-1,1,0,0,209,0,0,209,0,0,0,0,0,0,53,0,0,0,11077
205,-1,1,1234,0,205,0,0,205,0,0,0,0,0,0,50,0,0,0,10250
83,-1,1,0,313,83,0,0,83,0,0,0,0,0,0,54,0,0,0,4482
106,-1,1,89,0,106,0,0,106,0,0,0,0,0,0,55,0,0,0,5830
189,-1,1,129,0,189,0,0,0,0,0,0,0,0,0,44,0,0,0,8316
105,-1,1,0,0,105,0,0,105,0,0,0,0,0,0,43,0,0,0,4515
106,-1,1,353,0,106,0,0,106,0,0,0,0,0,0,56,0,0,0,5936
108,-1,1,0,0,108,0,0,108,0,0,0,0,0,0,54,0,0,0,5832
311,-1,1,0,0,311,0,0,0,0,0,0,0,0,0,55,0,0,0,17105
214,-1,1,398,0,214,0,0,0,0,0,0,0,0,0,37,0,0,0,7918
132,-1,1,0,193,132,193,132,132,0,0,0,0,0,0,33,0,0,0,4356
358,-1,1,-358,0,358,0,0,358,0,0,0,0,0,0,46,0,0,0,16468
453,-1,1,539,0,453,0,0,0,0,0,0,0,0,0,36,0,0,0,16308
364,-1,1,0,0,364,0,0,364,0,0,0,0,0,0,51,0,0,0,18564
136,-1,1,0,0,136,0,136,136,0,0,0,0,0,0,40,0,0,0,5440
386,-1,1,490,0,386,0,0,386,0,0,0,0,0,0,42,0,0,0,16212
173,-1,1,0,0,173,0,0,173,0,0,0,0,0,0,51,0,0,0,8823
241,-1,1,0,0,241,0,0,241,0,0,0,0,0,0,49,0,0,0,11809
224,-1,1,161,0,224,0,0,224,0,0,0,0,0,0,48,0,0,0,10752
148,-1,1,0,2558,148,2558,148,148,0,0,0,0,0,0,32,0,0,0,4736
